Feature Name	TPM Median	TPM Variance	Num Coexpress Partner	CAI	Normalized SNP Count	Paralog GI in S.cer	Ortholog Essentiality in S.cer	Length	Hits	Reads	Freedom index	Neighborhood index	Upstream hits 100	GRACE	GRACEv2
C1_00930C_A	42.63	4088.9762316862348	8.0	0.18	0.001509271	-1	-1	4639.0	28.0	1413.0	0.278564684	0.123644491	1.0	-1.0	
C1_00940W_A	91.03	87450.46741928713	64.0	0.16	0.002183406	0	1	459.0	0.0	0.0	1.0	0.0	1.0		1.0
C1_00950C_A	57.28	2641.5332114538173	6.0	0.22	0.001019888	0	1	1962.0	4.0	17.0	0.349643221	0.038920276000000004	1.0	1.0	
C1_00960C_A	13.92	1217.7596749084007	72.0	0.14	0.00256246	-1	-1	3123.0	22.0	1148.0	0.208133205	0.132595829	2.0		
C1_00970W_A	11.7	173.29911203434705	1.0	0.14	0.011428571	0	0	526.0	4.0	636.0	0.616557734	0.158435304	4.0		
C1_00980W_A	102.75	26429.7301111452	163.0	0.15	0.003717472	-1	-1	270.0	4.0	264.0	0.525925926	0.286697184	14.0		
C1_00990C_A	39.37	1300.4977180869025	218.0	0.17	0.001363791	-1	-1	2934.0	40.0	5121.0	0.109066121	0.252420589	6.0		
C1_01000C_A	19.77	652.3408418972883	0.0	0.14	0.001833181	0	1	1092.0	2.0	34.0	0.685897436	0.031555599999999996	0.0		
C1_01010W_A	204.01	1106102.6917585558	81.0	0.22	0.00212766	0	0	471.0	11.0	1359.0	0.286624204	0.37856637299999996	11.0	-1.0	
C1_01020W_A					0.0	0	0								
C1_01030W_A	150.57	17599.362130864778	298.0	0.27	0.002944063	-1	-1	1020.0	12.0	1419.0	0.294117647	0.181234466	2.0		-1.0
C1_01040W_A	70.97	16805.27835884123	2.0	0.21	0.0	-1	-1	444.0	6.0	373.0	0.34009009	0.20817472399999998	10.0	-1.0	
C1_01050C_A	112.86	19348.048498578184	6.0	0.25	0.001066098	0	1	939.0	0.0	0.0	1.0	0.0	5.0	-1.0	
C1_01060W_A	839.36	377747.4083366199	1.0	0.4	0.002197802	-1	-1	456.0	3.0	58.0	0.666666667	0.101588199	7.0		
C1_01070C_A	10.46	165.43761986980275	19.0	0.14	0.00491573	0	0	1425.0	2.0	3.0	0.8484210529999999	0.023203072	0.0		1.0
C1_01080W_A	9.36	337.0549371513066	15.0	0.13	0.008637874	0	0	1506.0	29.0	69254.0	0.217131474	0.312834772	14.0		-1.0
C1_01090C_A	117.01	121901.74403861426	86.0	0.14	0.006493506	-1	-1	309.0	0.0	0.0	1.0	0.0	0.0		
C1_01100W_A	10.33	1376.028658560018	11.0	0.14	0.003400355	-1	-1	6765.0	87.0	7011.0	0.058093125999999995	0.27145266	2.0	-1.0	
C1_01110C_A	93.57	11824.240048737149	283.0	0.29	0.002616089	0	1	1530.0	7.0	27.0	0.328104575	0.099588557	7.0	-1.0	
C1_01130W_A	25.45	8079.083929249482	2.0	0.15	0.000906208	0	1	2208.0	3.0	3.0	0.7173913040000001	0.03365624	0.0	-1.0	
C1_01140C_A	22.72	13639.31698493488	75.0	0.16	0.000475737	0	0	2103.0	23.0	1780.0	0.281978126	0.26807943100000003	4.0	-1.0	
C1_01150C_A	22.93	1862.842101607422	106.0	0.14	0.001449976	-1	-1	2070.0	26.0	2000.0	0.192753623	0.309685594	17.0		
C1_01160C_A	43.51	17272.600259497536	430.0	0.12	0.001231527	-1	-1	813.0	1.0	115.0	0.80196802	0.026498359	2.0	1.0	
C1_01170C_A	15.95	4752.109849937163	66.0	0.13	0.000451264	0	0	2217.0	35.0	2558.0	0.15787099699999999	0.32889005600000004	0.0		
C1_01180C_A	1.4	662.4539795348404	0.0	0.16	0.005485464000000001	-1	-1	1824.0	53.0	7689.0	0.143640351	0.557008252	1.0		
C1_01190C_A	24.63	2903.8871146620154	4.0	0.16	0.006470165	-1	-1	1392.0	21.0	2657.0	0.140804598	0.284578381	10.0	-1.0	
C1_01200W_A	13.58	3397.741174424815	137.0	0.17	0.005723205	-1	-1	1923.0	32.0	3118.0	0.18200728	0.280989525	10.0	-1.0	
C1_01210W_A	31.87	13378.8777379609	25.0	0.18	0.003207698	0	0	1248.0	18.0	1950.0	0.219551282	0.24651310199999998	12.0		
C1_01220C_A	3.28	7082.372092633917	119.0	0.12	0.003989362	0	0	753.0	15.0	1353.0	0.338645418	0.346629048	1.0		
C1_01240W_A	8.46	10766.269062049534	4.0	0.24	0.006673022	0	0	1050.0	22.0	1269.0	0.20952381	0.36342583100000003	4.0		
C1_01250W_A	51.57	134429.53038079594	3.0	0.27	0.000533618	-1	-1	1875.0	25.0	2717.0	0.256	0.227086247	10.0		
C1_01260C_A	18.73	5395.0911689504355	1.0	0.17	0.002212389	0	1	453.0	3.0	12.0	0.966887417	0.111403429	1.0	-1.0	
C1_01270W_A	22.77	1189.1283015440213	5.0	0.2	0.001558846	0	0	1284.0	19.0	1855.0	0.23208722699999998	0.258752283	3.0		-1.0
C1_01280C_A	9.86	498.64108855415833	33.0	0.14	0.002881844	0	0	348.0	2.0	12.0	0.948275862	0.097865353	2.0	-1.0	
C1_01290C_A	4.95	165.93895768140126	116.0	0.14	0.001319842	-1	-1	2274.0	29.0	2477.0	0.16314863699999999	0.232361403	2.0		
C1_01300W_A	108.16	30365.806989608143	0.0	0.2	0.002034588	0	0	984.0	25.0	1820.0	0.164634146	0.48448126	13.0	-1.0	
C1_01310W_A	0.16	16.754060298435117	0.0	0.12	0.002832861	0	0								
C1_01320W_A	111.31	9966.442842136268	35.0	0.23	0.003931848	-1	-1	1527.0	3.0	19.0	0.870988867	0.04093985	1.0	-1.0	
C1_01330C_A	102.82	11267.542763782225	15.0	0.26	0.0	0	1	480.0	2.0	7.0	0.604166667	0.09018181800000001	2.0	-1.0	
C1_01340C_A	9.41	1357.1523442002822	65.0	0.15	0.001154734	0	0	867.0	14.0	1112.0	0.294117647	0.333170722	10.0		
C1_01350C_A	967.68	516698.9529400226	47.0	0.63	0.002514669	1	0	1194.0	0.0	0.0	1.0	0.0	1.0		1.0
C1_01360C_A	49.18	14158.426830990249	10.0	0.2	0.000504541	-1	-1	1983.0	18.0	1199.0	0.189107413	0.199489781	3.0	-1.0	
C1_01370C_A	3244.93	11408793.178209186	134.0	0.64	0.0	-1	-1	641.0	1.0	16.0	0.7386363640000001	0.089055944	0.0		
C1_01380C_A	25.78	2513.6209358006595	419.0	0.19	0.00060423	-1	-1	1656.0	17.0	840.0	0.265096618	0.24561743100000002	0.0	-1.0	
C1_01390C_A	18.38	7447.148873380434	38.0	0.12	0.003291278	-1	-1	1824.0	21.0	2199.0	0.175438596	0.266859649	0.0		
C1_01400C_A	38.53	27182.37922700641	132.0	0.13	0.000677966	-1	-1	1476.0	22.0	3951.0	0.34078590799999997	0.363869085	2.0	-1.0	
C1_01420C_A	36.84	4002.6650629532037	0.0	0.15	0.0	-1	-1	1041.0	22.0	2417.0	0.16234389999999999	0.523987116	1.0	-1.0	
C1_01440C_A	0.59	121732.86168997649	0.0	0.22	0.0	0	0	399.0	10.0	600.0	0.523809524	0.652388547	1.0		
C1_01450W_A	47.23	8561.625564833455	1.0	0.25	0.004705882	-1	-1	1701.0	4.0	191.0	0.553203998	0.067730765	1.0		
C1_01460W_A	14.29	5967.481561055055	4.0	0.14	0.0006715919999999999	-1	-1	2979.0	44.0	5337.0	0.173548171	0.43892432200000003	3.0		
C1_01470W_A	84.67	4653.495718965008	6.0	0.23	0.000772201	0	1	1296.0	1.0	1.0	0.668209877	0.024758091	0.0	-1.0	
C1_01480C_A	2892.92	5078576.055226258	143.0	0.73	0.001335113	0	1	750.0	1.0	1.0	0.5720000000000001	0.043806267999999995	0.0	1.0	
C1_01490W_A	408.46	193699.2209251314	0.0	0.37	0.006644518	0	0	603.0	1.0	475.0	0.6069651739999999	0.056485411	2.0		-1.0
C1_01500W_A	0.0	0.11400958726905895	0.0	0.14	0.002183406	0	0								
C1_01510W_A	0.89	3340.484459249145	0.0		0.0074349440000000015	0	0	2154.0	48.0	4172.0	0.11095636	0.629633827	2.0		
C1_01520C_A	238.89	239522.1562011691	14.0	0.48	0.0028409090000000004	-1	-1	705.0	3.0	300.0	0.838297872	0.09748262099999999	3.0	-1.0	
C1_01530C_A	167.08	17908.754312928606	231.0	0.36	0.001070664	0	1	1869.0	3.0	81.0	0.433386838	0.036585158	0.0	1.0	
C1_01540W_A	21.67	3446.277055995546	261.0	0.17	0.000540541	-1	-1	1851.0	47.0	4669.0	0.15559157199999998	0.553423211	20.0		
C1_01550W_A	24.3	3105.410508520086	17.0	0.16	0.00192431	-1	-1	1560.0	17.0	1396.0	0.522435897	0.228259087	16.0		
C1_01560W_A	20.43	2392.9525547658714	59.0	0.13	0.004097477	-1	-1	4638.0	60.0	5391.0	0.114489004	0.253205115	6.0		-1.0
C1_01570C_A	71.09	18572.40799686676	55.0	0.15	0.005758157	0	1	522.0	4.0	343.0	0.666666667	0.123156856	0.0	1.0	
C1_01580W_A	127.04	33332.27753225358	221.0	0.26	0.0	-1	-1	531.0	1.0	74.0	0.962335217	0.032441843	2.0	1.0	
C1_01590C_A	72.68	7577.273508705995	9.0	0.28	0.001079914	0	1	3705.0	4.0	11.0	0.344939271	0.020873665	0.0	1.0	
C1_01600W_A	77.4	9413.213230709656	294.0	0.21	0.001135074	-1	-1	882.0	2.0	49.0	0.9625850340000001	0.049908014	3.0		1.0
C1_01610C_A	2.98	1868.4997610026983	186.0		0.0	0	0	1054.0	23.0	1355.0	0.181506849	0.5797455970000001	1.0		
C1_01620C_A	6.92	1069.7624613310552	107.0	0.23	0.004008016	0	0	999.0	17.0	874.0	0.179179179	0.390074598	1.0	-1.0	
C1_01630W_A	56.47	21554.766499985275	13.0	0.26	0.0	0	0	684.0	2.0	213.0	0.546783626	0.06313719400000001	1.0		-1.0
C1_01640W_A	97.22	63569.70453314394	47.0		0.005158438	1	0								
C1_01650W_A	42.68	15160.41673712421	117.0	0.19	0.001447178	-1	-1	1383.0	10.0	221.0	0.196673897	0.153006791	4.0	-1.0	
C1_01660C_A					0.0	0	0								
C1_01670C_A	6.18	66.83560784660204	71.0		0.003336113	0	1	4797.0	7.0	8.0	0.331248697	0.034562437	0.0	1.0	
C1_01680C_A	69.86	13360.562284671047	330.0	0.24	0.00390625	-1	-1	513.0	1.0	1.0	0.73294347	0.052252545	3.0		-1.0
C1_01690C_A	523.85	145085.21761662958	51.0	0.54	0.0	-1	-1	972.0	10.0	608.0	0.274691358	0.271612945	1.0		
C1_01700W_A				0.16	0.003125	-1	-1	3201.0	22.0	1821.0	0.18681662	0.194779557	16.0		
C1_01700W_B	23.45	1172.228740393762	141.0			0	0								
C1_01710W_A	12.9	3033.9818895374883	124.0	0.15	0.003494758	0	0	2004.0	9.0	482.0	0.47754491	0.131280735	1.0		
C1_01720C_A					0.0	0	0								
C1_01730W_A					0.0	0	0								
C1_01740W_A	1.41	27763.711605562843	152.0	0.2	0.00209468	-1	-1	2388.0	29.0	1672.0	0.146984925	0.35307434600000004	4.0	-1.0	
C1_01750W_A	9.11	1997.5762217212168	0.0	0.14	0.002630195	-1	-1	1902.0	38.0	3382.0	0.166666667	0.433932369	5.0		-1.0
C1_01760W_A	10.63	924.5531744295184	2.0	0.15	0.003747073	0	0	2136.0	33.0	3302.0	0.147003745	0.31397471899999996	1.0		
C1_01770W_A	9.42	1096.768746997395	123.0	0.15	0.007964602	-1	-1	1131.0	19.0	1854.0	0.450044209	0.30808114600000003	3.0	-1.0	
C1_01780C_A	25.09	22174.37145830519	9.0	0.15	0.002134472	0	0	1875.0	20.0	1793.0	0.178666667	0.19307538600000002	5.0	-1.0	
C1_01790W_A	22.29	1130.7769869555302	17.0	0.18	0.003421462	-1	-1	3216.0	7.0	558.0	0.41209150299999997	0.038052227	1.0	-1.0	
C1_01800W_A	35.19	2179.490035265533	32.0	0.15	0.0069541030000000005	0	0	720.0	8.0	507.0	0.805555556	0.16812652100000006	18.0		
C1_01810C_A	22.9	11177.193537415853	174.0	0.2	0.002616089	0	0	1530.0	18.0	2530.0	0.289542484	0.17467197399999998	2.0		
C1_01820C_A	21.3	466.9356816619474	22.0	0.13	0.00505476	0	1	1188.0	2.0	60.0	0.621212121	0.024561446	0.0	-1.0	
C1_01830C_A	63.82	19446.385353742862	167.0	0.17	0.0	-1	-1	573.0	3.0	392.0	0.6073298429999999	0.077838678	1.0		
C1_01840C_A	15.36	25248.545927305324	80.0	0.12	0.005415161999999999	0	0	555.0	8.0	796.0	0.544144144	0.211572058	1.0		
C1_01850C_A	37.61	37524.207813153684	4.0	0.12	0.003614458	0	1	831.0	3.0	166.0	0.9542719609999999	0.056046632	5.0	1.0	
C1_01860W_A	81.91	4832.349290364771	88.0	0.19	0.001090513	-1	-1	918.0	12.0	684.0	0.334422658	0.20810624600000002	10.0		-1.0
C1_01870C_A	175.42	14966.098973382786	259.0	0.42	0.0013422820000000002	-1	-1	1491.0	18.0	1800.0	0.319919517	0.20117314100000008	10.0		
C1_01880C_A	5.29	276.5915218594725	36.0	0.14	0.004727116	0	1	2328.0	33.0	2870.0	0.150343643	0.24352023	5.0		-1.0
C1_01890C_A	34.6	21032.487955185337	153.0	0.14	0.003924133	-1	-1	1530.0	23.0	1359.0	0.545098039	0.26405592899999997	3.0	-1.0	
C1_01900C_A	19.58	337.29779321107145	14.0	0.17	0.005273566	-1	-1	1518.0	24.0	1399.0	0.143610013	0.275961193	5.0		
C1_01910W_A	97.26	11592.99051687185	272.0	0.21	0.001879699	-1	-1	1065.0	7.0	384.0	0.6187793429999999	0.118152831	10.0		
C1_01920W_A	16.0	4048.938558886431	0.0	0.16	0.004707113	-1	-1	3825.0	50.0	4453.0	0.23555555600000005	0.294843863	0.0		
C1_01930W_A	22.27	136174.91945924074	108.0	0.2	0.005050505	-1	-1	1387.0	12.0	1319.0	0.342415985	0.269920125	1.0		
C1_01940C_A	47.49	3799.569395298605	125.0	0.16	0.001976285	0	1	507.0	1.0	52.0	0.91913215	0.053558323	5.0		-1.0
C1_01950C_A	44.81	6843.7773330247155	13.0	0.2	0.005504586999999999	-1	-1	546.0	2.0	31.0	0.553113553	0.095930233	5.0	-1.0	
C1_01970W_A	0.0	54.89304292714701	0.0	0.1	0.0	0	0	279.0	5.0	1053.0	0.444444444	0.500398951	0.0		
C1_01980W_A	20.94	547459.2608816215	36.0		0.004886988	0	0	1638.0	17.0	1807.0	0.153235653	0.261874237	2.0		
C1_01990W_A	0.14	31304.996554671896	2.0	0.41	0.001945525	-1	-1	1029.0	19.0	1195.0	0.19922254600000008	0.489789608	4.0	-1.0	
C1_02000W_A				0.16	0.002988048	-1	-1	1002.0	33.0	2512.0	0.183632735	0.843587335	15.0	-1.0	
C1_02000W_B	44.28	4177.180546161831	28.0			0	0								
C1_02010C_A	4.83	177.85443420755277	202.0	0.14	0.001832341	0	0	2184.0	19.0	889.0	0.174738841	0.22573649399999998	5.0	-1.0	
